Crop_Name,Season,Crop_Type,District,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Soil_pH,Soil_Moisture,Historical_Temperature,Historical_Rainfall,Historical_Humidity,Potential_Diseases,Actual_Yield
Rice,Kharif,Cereal,Khordha,45.2,18.5,32.1,6.8,65.5,32.5,1250.0,78.2,Bacterial Leaf Blight,2850.0
Rice,Kharif,Cereal,Cuttack,42.8,20.1,35.6,7.1,68.2,31.8,1180.0,75.5,Blast,2750.0
Rice,Kharif,Cereal,Puri,38.5,15.2,28.9,6.5,62.1,33.2,1320.0,82.1,Sheath Blight,2680.0
Rice,Rabi,Cereal,Balasore,48.1,22.3,38.2,7.2,70.5,28.5,450.0,68.5,None,3200.0
Rice,Rabi,Cereal,Sundargarh,35.7,14.8,25.6,6.2,58.3,29.8,520.0,71.2,Bacterial Leaf Blight,2450.0
Pigeon Pea,Kharif,Pulse,Ganjam,28.3,12.5,22.4,6.8,55.2,30.5,980.0,73.8,Wilt,880.0
Pigeon Pea,Kharif,Pulse,Angul,32.1,14.2,24.8,7.0,58.7,31.2,920.0,70.5,None,950.0
Black Gram,Rabi,Pulse,Bolangir,25.8,11.3,20.1,6.6,52.8,27.5,380.0,65.2,Yellow Mosaic,720.0
Black Gram,Rabi,Pulse,Kalahandi,22.4,9.8,18.5,6.3,48.5,28.8,420.0,68.9,None,680.0
Mustard,Rabi,Oilseed,Koraput,30.6,13.7,23.2,6.9,56.3,26.2,350.0,62.8,Alternaria Blight,1180.0
Mustard,Rabi,Oilseed,Khordha,35.2,16.8,28.5,7.1,60.2,25.8,320.0,58.5,None,1350.0
Sugarcane,Perennial,Cash Crop,Cuttack,52.3,24.1,42.8,7.3,72.6,29.5,1450.0,76.2,Red Rot,68000.0
Sugarcane,Perennial,Cash Crop,Puri,48.7,21.6,39.2,7.0,68.9,30.8,1520.0,78.5,None,72000.0
Tomato,Rabi,Vegetable,Balasore,40.2,18.9,33.5,6.8,64.2,27.2,480.0,67.3,Early Blight,18500.0
Tomato,Rabi,Vegetable,Sundargarh,36.8,16.4,30.1,6.5,60.8,28.6,510.0,70.1,None,22000.0
Brinjal,Kharif,Vegetable,Ganjam,38.4,17.2,31.8,6.7,62.5,32.1,1050.0,74.6,Fruit Borer,28000.0
Brinjal,Kharif,Vegetable,Angul,42.1,19.8,35.2,6.9,65.8,31.5,980.0,71.3,None,32000.0
Rice,Kharif,Cereal,Bolangir,36.2,13.8,26.4,6.4,55.7,34.2,1380.0,84.2,Blast,2420.0
Rice,Kharif,Cereal,Kalahandi,33.8,12.1,24.1,6.1,52.3,35.1,1420.0,86.5,Sheath Blight,2350.0
Rice,Rabi,Cereal,Koraput,45.6,21.4,37.8,7.1,69.2,27.8,410.0,64.8,None,3150.0
Pigeon Pea,Kharif,Pulse,Khordha,30.8,13.9,23.7,6.7,56.8,32.6,1020.0,75.4,Phytophthora,920.0
Black Gram,Rabi,Pulse,Cuttack,27.3,12.6,21.8,6.5,54.1,28.2,440.0,69.7,Yellow Mosaic,780.0
Mustard,Rabi,Oilseed,Puri,33.4,15.8,27.1,6.8,58.9,26.8,370.0,65.1,Downy Mildew,1250.0
Sugarcane,Perennial,Cash Crop,Balasore,50.8,23.2,41.5,7.2,71.3,29.2,1480.0,77.4,Red Rot,69500.0
Tomato,Rabi,Vegetable,Sundargarh,34.6,15.7,28.9,6.6,59.4,29.4,530.0,72.8,Late Blight,19500.0
Brinjal,Kharif,Vegetable,Ganjam,40.8,18.5,32.9,6.8,63.7,33.8,1080.0,76.2,Leaf Spot,29000.0
Rice,Kharif,Cereal,Angul,41.5,17.6,31.2,6.6,61.8,33.5,1280.0,80.3,Bacterial Leaf Blight,2780.0
Rice,Rabi,Cereal,Bolangir,44.3,20.8,36.9,7.0,67.5,28.1,430.0,66.2,None,3180.0
Pigeon Pea,Kharif,Pulse,Kalahandi,26.7,11.8,21.2,6.5,53.6,34.8,1150.0,81.6,Wilt,840.0
Black Gram,Rabi,Pulse,Koraput,24.1,10.9,19.6,6.4,51.2,29.7,460.0,71.5,None,700.0
Mustard,Rabi,Oilseed,Khordha,37.9,17.2,29.8,6.9,59.8,25.4,340.0,60.3,Sclerotinia Rot,1280.0
Sugarcane,Perennial,Cash Crop,Cuttack,53.6,25.1,44.2,7.4,73.8,28.9,1420.0,75.8,None,73500.0
Tomato,Rabi,Vegetable,Puri,38.7,17.8,32.1,6.7,61.5,28.1,490.0,68.6,Septoria Leaf Spot,19800.0
Brinjal,Kharif,Vegetable,Balasore,43.2,19.6,34.5,6.9,66.2,32.9,1030.0,73.9,Shoot Borer,31000.0
Rice,Kharif,Cereal,Sundargarh,39.8,16.9,30.5,6.5,60.3,35.8,1350.0,85.1,Blast,2650.0
Rice,Rabi,Cereal,Ganjam,47.2,22.6,39.4,7.2,70.8,27.2,390.0,63.5,None,3280.0
Pigeon Pea,Kharif,Pulse,Angul,31.4,14.1,24.3,6.8,57.2,33.1,990.0,74.2,None,980.0
Black Gram,Rabi,Pulse,Bolangir,23.6,10.7,18.9,6.2,49.8,30.1,480.0,73.1,Yellow Mosaic,740.0
Mustard,Rabi,Oilseed,Kalahandi,29.8,13.2,22.6,6.6,55.7,27.6,400.0,67.8,White Rust,1120.0
Sugarcane,Perennial,Cash Crop,Koraput,49.4,22.7,40.1,7.1,69.6,30.5,1550.0,79.3,Red Rot,67200.0
Tomato,Rabi,Vegetable,Khordha,41.3,18.6,33.8,6.8,62.8,27.8,470.0,66.9,Bacterial Wilt,18800.0
Brinjal,Kharif,Vegetable,Cuttack,44.6,20.3,35.8,7.0,67.4,33.2,1060.0,75.8,None,33500.0
Rice,Kharif,Cereal,Puri,37.2,15.4,28.1,6.3,58.6,34.6,1410.0,87.3,Sheath Blight,2520.0
Rice,Rabi,Cereal,Sundargarh,46.1,21.8,38.1,7.1,68.9,27.6,420.0,65.7,Bacterial Leaf Blight,3120.0
Pigeon Pea,Kharif,Pulse,Balasore,29.6,13.3,23.8,6.7,56.1,32.8,1000.0,76.8,Phytophthora,940.0
Black Gram,Rabi,Pulse,Ganjam,26.2,11.9,20.8,6.6,53.4,28.7,450.0,70.4,None,760.0
Mustard,Rabi,Oilseed,Angul,35.7,16.4,28.3,6.8,58.2,26.1,360.0,64.2,Alternaria Blight,1320.0
Sugarcane,Perennial,Cash Crop,Bolangir,51.7,24.3,43.2,7.3,72.1,29.7,1500.0,80.6,None,71800.0
Tomato,Rabi,Vegetable,Kalahandi,36.9,16.8,30.4,6.6,60.1,29.1,520.0,73.5,Early Blight,19200.0
Brinjal,Kharif,Vegetable,Koraput,42.8,19.1,34.2,6.9,65.1,34.1,1100.0,77.4,Fruit Borer,30200.0
